16 16
2
4
8
9 3
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 
0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 4; 4; 4M; 0; 0; 0; 
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 4; 4P; 4; 0; 0; 
0; 0; 0; 2; 0; 0; 0; 0; 0; 4; 4; 0; 0; 4; 0; 0; 
0; 0; 2M; 7; 7; 7; 0; 5; 5; 4; 4; 4; 4; 4; 0; 0; 
0; 0; 2; 7; 7; 0; 0; 5; 5; 5; 4; 4; 4; 4; 0; 0; 
0; 6; 1; 1; 7; 7M; 5; 5; 5; 5; 4; 4; 4; 4; 5; 5; 
0; 1; 6; 1; 0; 7; 5M; 5; 5; 5; 5; 5; 5; 5; 5; 0; 
0; 1; 1; 1; 1; 0; 5M; 5M; 5; 5; 5; 5; 5; 5; 5; 0; 
1; 1; 1; 1; 1; 1; 5; 5M; 5M; 5; 5M; 5; 5; 5; 3; 0; 
0; 1; 1; 1; 1; 5; 5; 5M; 5M; 5M; 5; 5; 5; 3; 3; 3; 
0; 1; 5; 1; 5; 5; 5; 5M; 5M; 5M; 5M; 3; 3; 3; 0; 0; 
1; 5; 5; 5; 5; 5; 5; 5; 5; 5M; 5; 3; 3; 3; 3; 0; 
0; 5; 5; 5; 5; 5; 5; 5; 5; 5; 3; 3; 3; 3; 3; 3; 
0; 0; 5; 0; 5; 5; 5; 5; 5P; 5; 0; 3; 3; 3; 3; 0; 
0; 0; 0; 0; 5; 5; 0; 5; 5P; 0; 0; 0; 3; 3; 3; 0; 
